Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_1.txt,72.0,72.0,72.0,69.0,0.0,-3.0,0.0,-225.0,0.0,-91.0,0.0,-334.0,72.0,72.0,72.0,-490.0,False,2187.0,25.0,3247136.0,454.0,136.0,2279500.0,441.0,94.0
2,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_2.txt,0.0,-25.0,0.0,-131.0,0.0,-10.0,0.0,-95.0,0.0,-31.0,0.0,-121.0,0.0,-10.0,0.0,-347.0,True,2187.0,10.0,2075907.0,438.0,108.0,1929216.0,381.0,96.0
3,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_3.txt,0.0,-24.0,0.0,-95.0,0.0,-53.0,0.0,-210.0,0.0,-54.0,0.0,-163.0,0.0,-24.0,0.0,-468.0,True,2187.0,17.0,3411486.0,534.0,126.0,3289974.0,474.0,89.0
4,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_4.txt,0.0,-16.0,0.0,-105.0,6.0,6.0,6.0,-133.0,0.0,-4.0,0.0,-10.0,6.0,6.0,6.0,-248.0,False,2187.0,24.0,6169224.0,561.0,166.0,2809080.0,431.0,108.0
5,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_5.txt,33.0,33.0,33.0,-23.0,13.0,13.0,13.0,-87.0,0.0,-9.0,0.0,-88.0,33.0,33.0,46.0,-198.0,False,2187.0,13.0,3744180.0,492.0,149.0,2266100.0,411.0,86.0
6,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_6.txt,66.0,66.0,72.0,72.0,0.0,-9.0,0.0,-135.0,0.0,-39.0,0.0,-198.0,66.0,66.0,72.0,-261.0,False,2187.0,2.0,2221527.0,423.0,125.0,1543680.0,377.0,80.0
7,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_7.txt,27.0,27.0,27.0,-31.0,0.0,-119.0,0.0,-300.0,19.0,19.0,21.0,21.0,27.0,27.0,48.0,-310.0,False,2187.0,8.0,6552378.0,575.0,167.0,3684798.0,502.0,87.0
8,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_8.txt,0.0,-20.0,0.0,-146.0,54.0,54.0,54.0,44.0,46.0,46.0,46.0,-29.0,54.0,54.0,100.0,-131.0,False,2187.0,8.0,5085936.0,527.0,144.0,2170278.0,408.0,97.0
9,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_9.txt,103.0,103.0,103.0,-11.0,136.0,136.0,136.0,-29.0,0.0,-201.0,0.0,-441.0,136.0,136.0,239.0,-481.0,False,2187.0,15.0,2782064.0,441.0,129.0,0.0,441.0,0.0
10,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_10.txt,0.0,-10.0,0.0,-110.0,148.0,148.0,210.0,210.0,0.0,-20.0,0.0,-264.0,148.0,148.0,210.0,-164.0,False,2187.0,4.0,3431484.0,495.0,132.0,1099220.0,394.0,61.0
11,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_11.txt,0.0,-88.0,0.0,-300.0,0.0,-4.0,0.0,-134.0,2.0,2.0,2.0,-62.0,2.0,2.0,2.0,-496.0,False,2187.0,22.0,4714880.0,532.0,149.0,4714880.0,532.0,128.0
12,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_12.txt,22.0,22.0,22.0,-170.0,107.0,107.0,187.0,187.0,0.0,-113.0,0.0,-294.0,107.0,107.0,209.0,-277.0,False,2187.0,8.0,7766316.0,619.0,175.0,4888080.0,545.0,120.0
13,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_13.txt,0.0,-55.0,0.0,-239.0,0.0,-34.0,0.0,-233.0,0.0,-9.0,0.0,-51.0,0.0,-9.0,0.0,-523.0,True,2187.0,15.0,3318084.0,484.0,130.0,3318084.0,484.0,99.0
14,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_14.txt,38.0,38.0,38.0,-36.0,0.0,-5.0,0.0,-112.0,0.0,-86.0,0.0,-225.0,38.0,38.0,38.0,-373.0,False,2187.0,22.0,4397328.0,500.0,156.0,3042216.0,454.0,94.0
15,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_15.txt,0.0,-56.0,0.0,-127.0,0.0,-85.0,0.0,-186.0,0.0,-30.0,0.0,-76.0,0.0,-30.0,0.0,-389.0,True,2187.0,10.0,5952510.0,544.0,177.0,5426820.0,533.0,146.0
16,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_16.txt,0.0,-16.0,0.0,-121.0,0.0,-78.0,0.0,-225.0,0.0,-39.0,0.0,-173.0,0.0,-16.0,0.0,-519.0,True,2187.0,22.0,3470976.0,461.0,146.0,3470976.0,461.0,131.0
17,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_17.txt,0.0,-149.0,0.0,-344.0,0.0,-46.0,0.0,-193.0,20.0,20.0,20.0,-110.0,20.0,20.0,20.0,-647.0,False,2187.0,16.0,4480182.0,551.0,139.0,4062240.0,530.0,84.0
18,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_18.txt,91.0,91.0,91.0,34.0,45.0,45.0,45.0,-135.0,0.0,-65.0,0.0,-211.0,91.0,91.0,136.0,-312.0,False,2187.0,17.0,3001792.0,478.0,132.0,1461600.0,395.0,58.0
19,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_19.txt,35.0,35.0,35.0,29.0,29.0,29.0,29.0,-99.0,0.0,-9.0,0.0,-104.0,35.0,35.0,64.0,-174.0,False,2187.0,13.0,3316950.0,456.0,135.0,2019732.0,384.0,107.0
20,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_20.txt,142.0,142.0,143.0,143.0,34.0,34.0,34.0,-148.0,0.0,-48.0,0.0,-207.0,142.0,142.0,177.0,-212.0,False,2187.0,20.0,5408975.0,585.0,138.0,393120.0,431.0,9.0
21,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_21.txt,19.0,19.0,19.0,-60.0,0.0,-70.0,0.0,-209.0,0.0,-15.0,0.0,-121.0,19.0,19.0,19.0,-390.0,False,2187.0,5.0,5480092.0,534.0,160.0,5480092.0,534.0,151.0
22,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_22.txt,0.0,-160.0,0.0,-403.0,0.0,-6.0,0.0,-269.0,18.0,18.0,23.0,23.0,18.0,18.0,23.0,-649.0,False,2187.0,26.0,6036800.0,575.0,156.0,4519960.0,558.0,85.0
23,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_23.txt,41.0,41.0,41.0,-131.0,36.0,36.0,36.0,-86.0,0.0,-142.0,0.0,-319.0,41.0,41.0,77.0,-536.0,False,2187.0,7.0,1888770.0,500.0,99.0,1384344.0,467.0,29.0
24,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_24.txt,0.0,-29.0,0.0,-103.0,0.0,-58.0,0.0,-216.0,27.0,27.0,27.0,-14.0,27.0,27.0,27.0,-333.0,False,2187.0,12.0,2837940.0,536.0,133.0,2661120.0,431.0,99.0
25,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_25.txt,26.0,26.0,26.0,16.0,0.0,-30.0,0.0,-126.0,0.0,-8.0,0.0,-121.0,26.0,26.0,26.0,-231.0,False,2187.0,9.0,5149980.0,520.0,153.0,2813464.0,431.0,116.0
26,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_26.txt,52.0,52.0,52.0,39.0,0.0,-5.0,0.0,-105.0,0.0,-106.0,0.0,-232.0,52.0,52.0,52.0,-298.0,False,2187.0,19.0,2634012.0,478.0,107.0,851499.0,357.0,33.0
27,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_27.txt,0.0,-30.0,0.0,-236.0,0.0,-41.0,0.0,-116.0,0.0,-62.0,0.0,-283.0,0.0,-30.0,0.0,-635.0,True,2187.0,30.0,7715520.0,608.0,176.0,7591584.0,604.0,158.0
28,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_28.txt,0.0,-22.0,0.0,-89.0,0.0,-117.0,0.0,-257.0,0.0,-79.0,0.0,-245.0,0.0,-22.0,0.0,-591.0,True,2187.0,14.0,7771302.0,613.0,189.0,7771302.0,610.0,154.0
29,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_29.txt,0.0,-106.0,0.0,-344.0,84.0,84.0,120.0,120.0,0.0,-69.0,0.0,-283.0,84.0,84.0,120.0,-507.0,False,2187.0,16.0,4769612.0,547.0,146.0,4154120.0,547.0,85.0
30,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_30.txt,0.0,-30.0,0.0,-110.0,0.0,-4.0,0.0,-51.0,0.0,-115.0,0.0,-253.0,0.0,-4.0,0.0,-414.0,True,2187.0,17.0,3581619.0,500.0,140.0,3581619.0,477.0,103.0
31,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_31.txt,0.0,-79.0,0.0,-183.0,0.0,-59.0,0.0,-144.0,0.0,-22.0,0.0,-77.0,0.0,-22.0,0.0,-404.0,True,2187.0,18.0,7381920.0,592.0,181.0,5669664.0,535.0,176.0
32,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_32.txt,72.0,72.0,72.0,31.0,0.0,-43.0,0.0,-182.0,0.0,-43.0,0.0,-227.0,72.0,72.0,72.0,-378.0,False,2187.0,19.0,2455128.0,505.0,118.0,1685256.0,433.0,71.0
33,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_33.txt,0.0,-52.0,0.0,-241.0,0.0,-62.0,0.0,-125.0,0.0,-65.0,0.0,-202.0,0.0,-52.0,0.0,-568.0,True,2187.0,29.0,3649128.0,490.0,131.0,3649128.0,477.0,116.0
34,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_34.txt,0.0,-35.0,0.0,-123.0,0.0,-21.0,0.0,-116.0,1.0,1.0,1.0,-24.0,1.0,1.0,1.0,-263.0,False,2187.0,10.0,3567348.0,505.0,139.0,2636072.0,427.0,97.0
35,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_35.txt,0.0,-37.0,0.0,-255.0,0.0,-92.0,0.0,-435.0,80.0,80.0,132.0,132.0,80.0,80.0,132.0,-558.0,False,2187.0,4.0,4529448.0,597.0,137.0,3026340.0,568.0,51.0
36,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_36.txt,94.0,94.0,94.0,-14.0,0.0,-77.0,0.0,-162.0,5.0,5.0,5.0,-42.0,94.0,94.0,99.0,-218.0,False,2187.0,24.0,3522775.0,489.0,143.0,1629012.0,363.0,86.0
37,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_37.txt,0.0,-27.0,0.0,-278.0,81.0,81.0,81.0,47.0,0.0,-68.0,0.0,-282.0,81.0,81.0,81.0,-513.0,False,2187.0,10.0,5384860.0,548.0,164.0,4303120.0,548.0,95.0
38,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_38.txt,0.0,-27.0,0.0,-103.0,0.0,-48.0,0.0,-133.0,0.0,-13.0,0.0,-74.0,0.0,-13.0,0.0,-310.0,True,2187.0,9.0,4170636.0,492.0,146.0,3957012.0,477.0,138.0
39,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_39.txt,9.0,9.0,9.0,-36.0,0.0,-1.0,0.0,-130.0,0.0,-112.0,0.0,-237.0,9.0,9.0,9.0,-403.0,False,2187.0,4.0,4438080.0,519.0,154.0,4198272.0,504.0,116.0
40,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_40.txt,0.0,-63.0,0.0,-202.0,46.0,46.0,59.0,59.0,0.0,-79.0,0.0,-246.0,46.0,46.0,59.0,-389.0,False,2187.0,16.0,2478322.0,408.0,121.0,1726560.0,400.0,72.0
41,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_41.txt,0.0,-114.0,0.0,-302.0,0.0,-28.0,0.0,-73.0,0.0,-94.0,0.0,-269.0,0.0,-28.0,0.0,-644.0,True,2187.0,25.0,5496805.0,539.0,164.0,5496805.0,539.0,145.0
42,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_42.txt,0.0,-55.0,0.0,-145.0,0.0,-1.0,0.0,-13.0,0.0,-72.0,0.0,-180.0,0.0,-1.0,0.0,-338.0,True,2187.0,10.0,3762570.0,476.0,138.0,3762570.0,476.0,133.0
43,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_43.txt,1.0,1.0,1.0,-199.0,0.0,-24.0,0.0,-74.0,0.0,-108.0,0.0,-273.0,1.0,1.0,1.0,-546.0,False,2187.0,11.0,2806713.0,470.0,127.0,2724652.0,462.0,73.0
44,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_44.txt,68.0,68.0,68.0,41.0,0.0,-65.0,0.0,-155.0,79.0,79.0,79.0,10.0,79.0,79.0,147.0,-104.0,False,2187.0,5.0,4246830.0,527.0,147.0,2133420.0,396.0,93.0
45,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_45.txt,0.0,-80.0,0.0,-170.0,14.0,14.0,14.0,-27.0,0.0,-105.0,0.0,-235.0,14.0,14.0,14.0,-432.0,False,2187.0,15.0,6352560.0,587.0,170.0,5634264.0,547.0,138.0
46,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_46.txt,58.0,58.0,58.0,-15.0,0.0,-39.0,0.0,-250.0,0.0,-127.0,0.0,-357.0,58.0,58.0,58.0,-622.0,False,2187.0,19.0,4360776.0,531.0,147.0,3592848.0,531.0,74.0
47,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_47.txt,0.0,-17.0,0.0,-88.0,0.0,-49.0,0.0,-143.0,0.0,-84.0,0.0,-216.0,0.0,-17.0,0.0,-447.0,True,2187.0,20.0,4351185.0,501.0,155.0,3072720.0,441.0,118.0
48,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_48.txt,28.0,28.0,28.0,-21.0,83.0,83.0,83.0,83.0,0.0,-109.0,0.0,-219.0,83.0,83.0,111.0,-157.0,False,2187.0,4.0,5038852.0,545.0,152.0,2810052.0,454.0,81.0
49,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_49.txt,62.0,62.0,62.0,-15.0,0.0,-54.0,0.0,-209.0,0.0,-137.0,0.0,-295.0,62.0,62.0,62.0,-519.0,False,2187.0,9.0,6187566.0,558.0,177.0,5288760.0,546.0,120.0
50,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_50.txt,0.0,-24.0,0.0,-212.0,0.0,-126.0,0.0,-257.0,41.0,41.0,41.0,-14.0,41.0,41.0,41.0,-483.0,False,2187.0,13.0,6846840.0,620.0,172.0,5538500.0,571.0,106.0
51,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_51.txt,0.0,-36.0,0.0,-141.0,0.0,-50.0,0.0,-177.0,16.0,16.0,16.0,-29.0,16.0,16.0,16.0,-347.0,False,2187.0,11.0,4588776.0,513.0,145.0,3367980.0,456.0,132.0
52,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_52.txt,0.0,-61.0,0.0,-147.0,67.0,67.0,67.0,-67.0,0.0,-24.0,0.0,-83.0,67.0,67.0,67.0,-297.0,False,2187.0,21.0,3576546.0,468.0,143.0,2084967.0,393.0,93.0
53,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_53.txt,18.0,18.0,18.0,-54.0,0.0,-61.0,0.0,-239.0,0.0,-40.0,0.0,-179.0,18.0,18.0,18.0,-472.0,False,2187.0,18.0,3175392.0,459.0,132.0,2841770.0,450.0,89.0
54,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_54.txt,94.0,94.0,161.0,161.0,0.0,-20.0,0.0,-272.0,0.0,-61.0,0.0,-259.0,94.0,94.0,161.0,-370.0,False,2187.0,6.0,3043755.0,450.0,129.0,2298264.0,450.0,86.0
55,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_55.txt,52.0,52.0,52.0,2.0,5.0,5.0,5.0,-60.0,0.0,-28.0,0.0,-131.0,52.0,52.0,57.0,-189.0,False,2187.0,5.0,3347568.0,465.0,140.0,2314600.0,405.0,100.0
56,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_56.txt,0.0,-8.0,0.0,-63.0,40.0,40.0,40.0,31.0,0.0,-15.0,0.0,-39.0,40.0,40.0,40.0,-71.0,False,2187.0,7.0,3280200.0,484.0,142.0,2214000.0,397.0,108.0
57,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_57.txt,14.0,14.0,14.0,11.0,0.0,-68.0,0.0,-384.0,16.0,16.0,16.0,-219.0,16.0,16.0,30.0,-592.0,False,2187.0,3.0,6034875.0,591.0,165.0,4949025.0,591.0,95.0
58,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_58.txt,0.0,-12.0,0.0,-69.0,0.0,-61.0,0.0,-130.0,0.0,-16.0,0.0,-96.0,0.0,-12.0,0.0,-295.0,True,2187.0,17.0,4262400.0,513.0,152.0,4038685.0,479.0,145.0
59,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_59.txt,0.0,-85.0,0.0,-250.0,0.0,-49.0,0.0,-189.0,0.0,-48.0,0.0,-99.0,0.0,-48.0,0.0,-538.0,True,2187.0,15.0,3907332.0,526.0,128.0,3907332.0,508.0,99.0
60,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_60.txt,0.0,-97.0,0.0,-263.0,0.0,-93.0,0.0,-274.0,0.0,-18.0,0.0,-55.0,0.0,-18.0,0.0,-592.0,True,2187.0,16.0,5828940.0,573.0,159.0,5828940.0,560.0,141.0
61,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_61.txt,0.0,-67.0,0.0,-210.0,0.0,-36.0,0.0,-175.0,33.0,33.0,33.0,13.0,33.0,33.0,33.0,-372.0,False,2187.0,11.0,3162816.0,466.0,136.0,3029400.0,451.0,100.0
62,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_62.txt,38.0,38.0,38.0,-75.0,0.0,-75.0,0.0,-199.0,0.0,-14.0,0.0,-39.0,38.0,38.0,38.0,-313.0,False,2187.0,9.0,5054940.0,546.0,153.0,3957824.0,484.0,134.0
63,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_63.txt,0.0,-8.0,0.0,-155.0,0.0,-50.0,0.0,-149.0,70.0,70.0,75.0,75.0,70.0,70.0,75.0,-229.0,False,2187.0,4.0,4194372.0,504.0,156.0,3167104.0,464.0,109.0
64,uniform,outputs/agents_3/items_7/gpt4o/zero_shot1/output_64.txt,0.0,-2.0,0.0,-15.0,0.0,-39.0,0.0,-225.0,0.0,-53.0,0.0,-177.0,0.0,-2.0,0.0,-417.0,True,2187.0,12.0,3308550.0,477.0,137.0,2850036.0,438.0,111.0
