Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_3/items_6/gpt4o/zero_shot1/output_1.txt,2.0,2.0,2.0,-36.0,0.0,-35.0,0.0,-121.0,0.0,-103.0,0.0,-225.0,2.0,2.0,2.0,-382.0,False,729.0,0.0,2653530.0,441.0,121.0,2653530.0,420.0,121.0
2,uniform,outputs/agents_3/items_6/gpt4o/zero_shot1/output_2.txt,0.0,-54.0,0.0,-117.0,0.0,-59.0,0.0,-119.0,0.0,-55.0,0.0,-129.0,0.0,-54.0,0.0,-365.0,True,729.0,6.0,3695937.0,490.0,133.0,3695937.0,467.0,133.0
3,uniform,outputs/agents_3/items_6/gpt4o/zero_shot1/output_3.txt,83.0,83.0,98.0,98.0,20.0,20.0,20.0,-73.0,66.0,66.0,66.0,46.0,83.0,83.0,184.0,71.0,False,729.0,2.0,4262720.0,503.0,154.0,1546083.0,357.0,97.0
4,uniform,outputs/agents_3/items_6/gpt4o/zero_shot1/output_4.txt,10.0,10.0,10.0,-12.0,0.0,-119.0,0.0,-246.0,0.0,-36.0,0.0,-78.0,10.0,10.0,10.0,-336.0,False,729.0,1.0,2224376.0,406.0,109.0,2224376.0,406.0,88.0
5,uniform,outputs/agents_3/items_6/gpt4o/zero_shot1/output_5.txt,41.0,41.0,41.0,18.0,12.0,12.0,12.0,-1.0,0.0,-53.0,0.0,-173.0,41.0,41.0,53.0,-156.0,False,729.0,2.0,1240092.0,340.0,95.0,1083684.0,314.0,84.0
6,uniform,outputs/agents_3/items_6/gpt4o/zero_shot1/output_6.txt,0.0,-28.0,0.0,-87.0,34.0,34.0,34.0,-84.0,71.0,71.0,71.0,33.0,71.0,71.0,105.0,-138.0,False,729.0,2.0,2298919.0,456.0,109.0,641088.0,327.0,32.0
7,uniform,outputs/agents_3/items_6/gpt4o/zero_shot1/output_7.txt,0.0,-21.0,0.0,-119.0,0.0,-62.0,0.0,-145.0,0.0,-52.0,0.0,-109.0,0.0,-21.0,0.0,-373.0,True,729.0,7.0,5045040.0,521.0,162.0,4645188.0,501.0,162.0
8,uniform,outputs/agents_3/items_6/gpt4o/zero_shot1/output_8.txt,0.0,-20.0,0.0,-137.0,0.0,-36.0,0.0,-106.0,0.0,-91.0,0.0,-252.0,0.0,-20.0,0.0,-495.0,True,729.0,5.0,3128250.0,479.0,125.0,3128250.0,448.0,125.0
9,uniform,outputs/agents_3/items_6/gpt4o/zero_shot1/output_9.txt,9.0,9.0,9.0,-121.0,0.0,-64.0,0.0,-228.0,0.0,-17.0,0.0,-44.0,9.0,9.0,9.0,-393.0,False,729.0,3.0,2381360.0,420.0,122.0,2100582.0,408.0,99.0
10,uniform,outputs/agents_3/items_6/gpt4o/zero_shot1/output_10.txt,30.0,30.0,30.0,-4.0,0.0,-36.0,0.0,-180.0,0.0,-66.0,0.0,-185.0,30.0,30.0,30.0,-369.0,False,729.0,6.0,2370960.0,417.0,104.0,2370960.0,417.0,89.0
