Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_1.txt,0.0,-82.0,0.0,-82.0,0.0,-191.0,0.0,-191.0,0.0,-82.0,0.0,-273.0,True,256.0,35.0,66304.0,523.0,251.0,66304.0,520.0,224.0
2,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_2.txt,0.0,-8.0,0.0,-8.0,0.0,-124.0,0.0,-124.0,0.0,-8.0,0.0,-132.0,True,256.0,24.0,39528.0,399.0,189.0,33750.0,375.0,150.0
3,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_3.txt,0.0,-137.0,0.0,-137.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,-48.0,False,256.0,19.0,98100.0,629.0,300.0,72225.0,546.0,225.0
4,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_4.txt,0.0,-57.0,0.0,-57.0,0.0,-137.0,0.0,-137.0,0.0,-57.0,0.0,-194.0,True,256.0,21.0,53652.0,467.0,217.0,53652.0,467.0,204.0
5,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_5.txt,74.0,74.0,74.0,74.0,0.0,-196.0,0.0,-196.0,74.0,74.0,74.0,-122.0,False,256.0,34.0,44835.0,433.0,210.0,34220.0,381.0,145.0
6,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_6.txt,0.0,-196.0,0.0,-196.0,0.0,-95.0,0.0,-95.0,0.0,-95.0,0.0,-291.0,True,256.0,35.0,80754.0,576.0,278.0,77562.0,557.0,278.0
7,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_7.txt,0.0,-87.0,0.0,-87.0,0.0,-123.0,0.0,-123.0,0.0,-87.0,0.0,-210.0,True,256.0,23.0,64158.0,513.0,233.0,64158.0,511.0,222.0
8,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_8.txt,21.0,21.0,21.0,21.0,0.0,-225.0,0.0,-225.0,21.0,21.0,21.0,-204.0,False,256.0,31.0,58824.0,491.0,233.0,57720.0,491.0,195.0
9,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_9.txt,0.0,-248.0,0.0,-248.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,-113.0,False,256.0,21.0,70626.0,544.0,259.0,45262.0,493.0,122.0
10,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_10.txt,0.0,-246.0,0.0,-246.0,0.0,-35.0,0.0,-35.0,0.0,-35.0,0.0,-281.0,True,256.0,40.0,45746.0,455.0,189.0,44274.0,455.0,141.0
11,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_11.txt,0.0,-120.0,0.0,-120.0,0.0,-132.0,0.0,-132.0,0.0,-120.0,0.0,-252.0,True,256.0,31.0,73458.0,549.0,266.0,72086.0,537.0,266.0
12,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_12.txt,60.0,60.0,60.0,60.0,0.0,-137.0,0.0,-137.0,60.0,60.0,60.0,-77.0,False,256.0,21.0,65835.0,522.0,236.0,51900.0,473.0,173.0
13,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_13.txt,74.0,74.0,74.0,74.0,0.0,-263.0,0.0,-263.0,74.0,74.0,74.0,-189.0,False,256.0,18.0,103659.0,644.0,317.0,95763.0,644.0,233.0
14,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_14.txt,0.0,-203.0,0.0,-203.0,0.0,-14.0,0.0,-14.0,0.0,-14.0,0.0,-217.0,True,256.0,35.0,44034.0,441.0,188.0,36708.0,409.0,133.0
15,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_15.txt,0.0,-184.0,0.0,-184.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,-176.0,False,256.0,26.0,56180.0,481.0,230.0,51744.0,460.0,196.0
16,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_16.txt,120.0,120.0,120.0,120.0,0.0,-167.0,0.0,-167.0,120.0,120.0,120.0,-47.0,False,256.0,20.0,50740.0,451.0,216.0,32480.0,402.0,112.0
17,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_17.txt,0.0,-44.0,0.0,-44.0,0.0,-97.0,0.0,-97.0,0.0,-44.0,0.0,-141.0,True,256.0,32.0,65296.0,527.0,247.0,53750.0,465.0,215.0
18,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_18.txt,120.0,120.0,120.0,120.0,0.0,-169.0,0.0,-169.0,120.0,120.0,120.0,-49.0,False,256.0,11.0,41172.0,445.0,191.0,26789.0,390.0,89.0
19,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_19.txt,0.0,-68.0,0.0,-68.0,0.0,-110.0,0.0,-110.0,0.0,-68.0,0.0,-178.0,True,256.0,22.0,62150.0,501.0,237.0,62150.0,501.0,226.0
20,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_20.txt,0.0,-178.0,0.0,-178.0,0.0,-85.0,0.0,-85.0,0.0,-85.0,0.0,-263.0,True,256.0,42.0,41968.0,416.0,195.0,41968.0,416.0,172.0
21,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_21.txt,0.0,-163.0,0.0,-163.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-161.0,False,256.0,28.0,51712.0,501.0,209.0,39564.0,440.0,126.0
22,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_22.txt,0.0,-114.0,0.0,-114.0,0.0,-33.0,0.0,-33.0,0.0,-33.0,0.0,-147.0,True,256.0,20.0,56034.0,521.0,219.0,52668.0,479.0,171.0
23,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_23.txt,0.0,-64.0,0.0,-64.0,0.0,-331.0,0.0,-331.0,0.0,-64.0,0.0,-395.0,True,256.0,46.0,76533.0,568.0,263.0,74727.0,568.0,207.0
24,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_24.txt,14.0,14.0,14.0,14.0,0.0,-135.0,0.0,-135.0,14.0,14.0,14.0,-121.0,False,256.0,31.0,49518.0,451.0,215.0,36337.0,382.0,179.0
25,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_25.txt,0.0,-166.0,0.0,-166.0,0.0,-11.0,0.0,-11.0,0.0,-11.0,0.0,-177.0,True,256.0,27.0,72624.0,541.0,267.0,66677.0,522.0,223.0
26,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_26.txt,19.0,19.0,19.0,19.0,76.0,76.0,76.0,76.0,76.0,76.0,95.0,95.0,False,256.0,31.0,98280.0,627.0,312.0,43460.0,417.0,205.0
27,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_27.txt,0.0,-125.0,0.0,-125.0,0.0,-152.0,0.0,-152.0,0.0,-125.0,0.0,-277.0,True,256.0,26.0,86387.0,588.0,287.0,86387.0,588.0,287.0
28,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_28.txt,31.0,31.0,31.0,31.0,0.0,-414.0,0.0,-414.0,31.0,31.0,31.0,-383.0,False,256.0,35.0,106200.0,658.0,295.0,93841.0,658.0,209.0
29,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_29.txt,0.0,-100.0,0.0,-100.0,0.0,-172.0,0.0,-172.0,0.0,-100.0,0.0,-272.0,True,256.0,29.0,98418.0,636.0,293.0,97290.0,627.0,282.0
30,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_30.txt,0.0,-416.0,0.0,-416.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,-394.0,False,256.0,39.0,92640.0,631.0,296.0,79800.0,631.0,175.0
31,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_31.txt,0.0,-125.0,0.0,-125.0,0.0,-302.0,0.0,-302.0,0.0,-125.0,0.0,-427.0,True,256.0,47.0,88200.0,594.0,294.0,85090.0,589.0,254.0
32,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_32.txt,0.0,-198.0,0.0,-198.0,0.0,-111.0,0.0,-111.0,0.0,-111.0,0.0,-309.0,True,256.0,43.0,37835.0,396.0,173.0,37835.0,396.0,161.0
33,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_33.txt,25.0,25.0,25.0,25.0,0.0,-167.0,0.0,-167.0,25.0,25.0,25.0,-142.0,False,256.0,13.0,43875.0,422.0,195.0,43737.0,422.0,183.0
34,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_34.txt,0.0,-80.0,0.0,-80.0,0.0,-208.0,0.0,-208.0,0.0,-80.0,0.0,-288.0,True,256.0,34.0,85261.0,590.0,259.0,85261.0,590.0,253.0
35,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_35.txt,0.0,-166.0,0.0,-166.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,-157.0,False,256.0,38.0,70635.0,549.0,255.0,46055.0,456.0,151.0
36,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_36.txt,89.0,89.0,89.0,89.0,0.0,-332.0,0.0,-332.0,89.0,89.0,89.0,-243.0,False,256.0,23.0,88704.0,601.0,278.0,76494.0,601.0,183.0
37,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_37.txt,0.0,-34.0,0.0,-34.0,0.0,-211.0,0.0,-211.0,0.0,-34.0,0.0,-245.0,True,256.0,39.0,56388.0,476.0,228.0,53320.0,463.0,215.0
38,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_38.txt,0.0,-154.0,0.0,-154.0,0.0,-20.0,0.0,-20.0,0.0,-20.0,0.0,-174.0,True,256.0,31.0,57078.0,501.0,230.0,49810.0,463.0,170.0
39,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_39.txt,0.0,-292.0,0.0,-292.0,0.0,-112.0,0.0,-112.0,0.0,-112.0,0.0,-404.0,True,256.0,49.0,72760.0,554.0,260.0,72760.0,554.0,214.0
40,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_40.txt,0.0,-122.0,0.0,-122.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,-114.0,False,256.0,16.0,57784.0,482.0,235.0,57084.0,481.0,213.0
41,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_41.txt,0.0,-276.0,0.0,-276.0,0.0,-74.0,0.0,-74.0,0.0,-74.0,0.0,-350.0,True,256.0,35.0,73272.0,557.0,251.0,73272.0,557.0,213.0
42,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_42.txt,0.0,-151.0,0.0,-151.0,0.0,-189.0,0.0,-189.0,0.0,-151.0,0.0,-340.0,True,256.0,32.0,102306.0,643.0,293.0,102306.0,643.0,289.0
43,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_43.txt,0.0,-75.0,0.0,-75.0,0.0,-92.0,0.0,-92.0,0.0,-75.0,0.0,-167.0,True,256.0,18.0,82064.0,591.0,285.0,80238.0,569.0,258.0
44,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_44.txt,0.0,-60.0,0.0,-60.0,0.0,-66.0,0.0,-66.0,0.0,-60.0,0.0,-126.0,True,256.0,22.0,57814.0,485.0,225.0,50218.0,449.0,211.0
45,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_45.txt,0.0,-34.0,0.0,-34.0,0.0,-176.0,0.0,-176.0,0.0,-34.0,0.0,-210.0,True,256.0,42.0,73600.0,603.0,258.0,60204.0,521.0,173.0
46,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_46.txt,0.0,-139.0,0.0,-139.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,-101.0,False,256.0,27.0,66584.0,571.0,239.0,50283.0,484.0,151.0
47,uniform,outputs/agents_2/items_8/gpt4o/zero_shot0/output_47.txt,0.0,-99.0,0.0,-99.0,0.0,-147.0,0.0,-147.0,0.0,-99.0,0.0,-246.0,True,256.0,26.0,78200.0,577.0,265.0,78200.0,570.0,230.0
