Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_1.txt,0.0,-28.0,0.0,-142.0,61.0,61.0,61.0,45.0,0.0,-42.0,0.0,-154.0,61.0,61.0,61.0,-251.0,False,81.0,1.0,421064.0,238.0,56.0,395136.0,238.0,56.0
2,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_2.txt,0.0,-27.0,0.0,-79.0,32.0,32.0,32.0,15.0,0.0,-51.0,0.0,-116.0,32.0,32.0,32.0,-180.0,False,81.0,0.0,1051578.0,332.0,94.0,1051578.0,306.0,94.0
3,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_3.txt,15.0,15.0,25.0,25.0,16.0,16.0,16.0,-89.0,0.0,-46.0,0.0,-161.0,16.0,16.0,41.0,-225.0,False,81.0,0.0,188760.0,289.0,44.0,159936.0,250.0,14.0
4,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_4.txt,0.0,0.0,0.0,-85.0,25.0,25.0,25.0,17.0,0.0,-30.0,0.0,-184.0,25.0,25.0,25.0,-252.0,False,81.0,1.0,442431.0,282.0,52.0,330378.0,250.0,41.0
5,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_5.txt,70.0,70.0,70.0,-52.0,59.0,59.0,59.0,-47.0,0.0,-152.0,0.0,-318.0,70.0,70.0,129.0,-417.0,False,81.0,0.0,609824.0,318.0,68.0,0.0,318.0,0.0
6,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_6.txt,97.0,97.0,111.0,111.0,0.0,-95.0,0.0,-201.0,0.0,-11.0,0.0,-118.0,97.0,97.0,111.0,-208.0,False,81.0,0.0,571144.0,308.0,62.0,320950.0,254.0,25.0
7,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_7.txt,0.0,-59.0,0.0,-147.0,0.0,-44.0,0.0,-123.0,40.0,40.0,40.0,-37.0,40.0,40.0,40.0,-307.0,False,81.0,0.0,937440.0,308.0,80.0,922188.0,308.0,67.0
8,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_8.txt,10.0,10.0,10.0,-30.0,0.0,-4.0,0.0,-94.0,0.0,-47.0,0.0,-184.0,10.0,10.0,10.0,-308.0,False,81.0,0.0,1179900.0,344.0,81.0,1179900.0,344.0,69.0
9,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_9.txt,63.0,63.0,104.0,104.0,74.0,74.0,74.0,-10.0,0.0,-42.0,0.0,-140.0,74.0,74.0,178.0,-46.0,False,81.0,0.0,407296.0,228.0,64.0,74880.0,184.0,12.0
10,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_10.txt,0.0,-20.0,0.0,-146.0,0.0,-2.0,0.0,-40.0,0.0,-20.0,0.0,-42.0,0.0,-2.0,0.0,-228.0,True,81.0,1.0,821370.0,319.0,68.0,821370.0,292.0,66.0
11,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_11.txt,0.0,-76.0,0.0,-211.0,0.0,-48.0,0.0,-122.0,12.0,12.0,12.0,-16.0,12.0,12.0,12.0,-349.0,False,81.0,1.0,995400.0,309.0,90.0,995400.0,309.0,79.0
12,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_12.txt,0.0,-73.0,0.0,-153.0,0.0,-4.0,0.0,-55.0,0.0,-81.0,0.0,-207.0,0.0,-4.0,0.0,-415.0,True,81.0,1.0,1235412.0,341.0,90.0,1235412.0,338.0,81.0
13,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_13.txt,54.0,54.0,54.0,44.0,76.0,76.0,76.0,1.0,0.0,-144.0,0.0,-289.0,76.0,76.0,130.0,-244.0,False,81.0,0.0,706496.0,289.0,76.0,0.0,289.0,0.0
14,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_14.txt,65.0,65.0,91.0,91.0,0.0,-76.0,0.0,-225.0,0.0,-26.0,0.0,-160.0,65.0,65.0,91.0,-294.0,False,81.0,1.0,884520.0,315.0,90.0,720720.0,315.0,44.0
15,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_15.txt,0.0,-46.0,0.0,-187.0,27.0,27.0,27.0,-59.0,23.0,23.0,23.0,20.0,27.0,27.0,50.0,-226.0,False,81.0,0.0,972400.0,336.0,85.0,955680.0,329.0,60.0
16,uniform,outputs/agents_3/items_4/gpt4o/zero_shot1/output_16.txt,53.0,53.0,69.0,69.0,0.0,-90.0,0.0,-228.0,7.0,7.0,7.0,-104.0,53.0,53.0,76.0,-263.0,False,81.0,1.0,409248.0,260.0,55.0,86976.0,253.0,6.0
