Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_1.txt,0.0,-37.0,0.0,-37.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,-15.0,False,256.0,17.0,68800.0,551.0,248.0,52245.0,458.0,215.0
2,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_2.txt,124.0,124.0,124.0,124.0,0.0,-150.0,0.0,-150.0,124.0,124.0,124.0,-26.0,False,256.0,16.0,63480.0,513.0,242.0,43320.0,437.0,152.0
3,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_3.txt,38.0,38.0,38.0,38.0,0.0,-119.0,0.0,-119.0,38.0,38.0,38.0,-81.0,False,256.0,33.0,80000.0,570.0,252.0,46320.0,433.0,193.0
4,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_4.txt,0.0,-79.0,0.0,-79.0,0.0,-193.0,0.0,-193.0,0.0,-79.0,0.0,-272.0,True,256.0,37.0,79032.0,563.0,267.0,79032.0,563.0,267.0
5,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_5.txt,0.0,-97.0,0.0,-97.0,0.0,-107.0,0.0,-107.0,0.0,-97.0,0.0,-204.0,True,256.0,32.0,79969.0,616.0,248.0,68266.0,533.0,214.0
6,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_6.txt,0.0,-5.0,0.0,-5.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0,False,256.0,20.0,55944.0,474.0,222.0,33712.0,368.0,172.0
7,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_7.txt,0.0,-79.0,0.0,-79.0,0.0,-166.0,0.0,-166.0,0.0,-79.0,0.0,-245.0,True,256.0,38.0,56028.0,496.0,218.0,54718.0,469.0,218.0
8,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_8.txt,1.0,1.0,1.0,1.0,0.0,-347.0,0.0,-347.0,1.0,1.0,1.0,-346.0,False,256.0,31.0,65520.0,553.0,222.0,57546.0,553.0,139.0
9,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_9.txt,33.0,33.0,33.0,33.0,0.0,-50.0,0.0,-50.0,33.0,33.0,33.0,-17.0,False,256.0,22.0,87230.0,607.0,290.0,64965.0,518.0,213.0
10,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_10.txt,0.0,-243.0,0.0,-243.0,0.0,-125.0,0.0,-125.0,0.0,-125.0,0.0,-368.0,True,256.0,49.0,69664.0,535.0,258.0,68112.0,522.0,258.0
11,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_11.txt,0.0,-110.0,0.0,-110.0,0.0,-93.0,0.0,-93.0,0.0,-93.0,0.0,-203.0,True,256.0,28.0,46168.0,431.0,209.0,46168.0,431.0,199.0
12,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_12.txt,0.0,-185.0,0.0,-185.0,0.0,-70.0,0.0,-70.0,0.0,-70.0,0.0,-255.0,True,256.0,44.0,52539.0,460.0,224.0,48994.0,449.0,187.0
13,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_13.txt,80.0,80.0,80.0,80.0,22.0,22.0,22.0,22.0,80.0,80.0,102.0,102.0,False,256.0,42.0,75296.0,646.0,243.0,35964.0,391.0,148.0
14,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_14.txt,45.0,45.0,45.0,45.0,0.0,-153.0,0.0,-153.0,45.0,45.0,45.0,-108.0,False,256.0,19.0,48070.0,485.0,209.0,36308.0,429.0,116.0
15,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_15.txt,0.0,-85.0,0.0,-85.0,0.0,-28.0,0.0,-28.0,0.0,-28.0,0.0,-113.0,True,256.0,21.0,77312.0,558.0,266.0,69167.0,528.0,241.0
16,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_16.txt,0.0,-41.0,0.0,-41.0,0.0,-106.0,0.0,-106.0,0.0,-41.0,0.0,-147.0,True,256.0,19.0,82764.0,597.0,282.0,77568.0,559.0,256.0
17,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_17.txt,0.0,-113.0,0.0,-113.0,0.0,-144.0,0.0,-144.0,0.0,-113.0,0.0,-257.0,True,256.0,39.0,60196.0,500.0,227.0,58300.0,487.0,212.0
18,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_18.txt,20.0,20.0,20.0,20.0,0.0,-164.0,0.0,-164.0,20.0,20.0,20.0,-144.0,False,256.0,28.0,60258.0,491.0,242.0,53625.0,470.0,195.0
19,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_19.txt,0.0,-141.0,0.0,-141.0,0.0,-216.0,0.0,-216.0,0.0,-141.0,0.0,-357.0,True,256.0,33.0,80808.0,571.0,263.0,80808.0,571.0,259.0
20,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_20.txt,0.0,-77.0,0.0,-77.0,0.0,-148.0,0.0,-148.0,0.0,-77.0,0.0,-225.0,True,256.0,22.0,93492.0,612.0,294.0,93492.0,612.0,294.0
21,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_21.txt,0.0,-120.0,0.0,-120.0,0.0,-12.0,0.0,-12.0,0.0,-12.0,0.0,-132.0,True,256.0,11.0,70070.0,531.0,263.0,70070.0,531.0,245.0
22,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_22.txt,0.0,-124.0,0.0,-124.0,0.0,-120.0,0.0,-120.0,0.0,-120.0,0.0,-244.0,True,256.0,29.0,72303.0,573.0,238.0,72303.0,544.0,231.0
23,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_23.txt,0.0,-153.0,0.0,-153.0,0.0,-26.0,0.0,-26.0,0.0,-26.0,0.0,-179.0,True,256.0,22.0,38862.0,420.0,193.0,38862.0,407.0,153.0
24,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_24.txt,0.0,-115.0,0.0,-115.0,0.0,-170.0,0.0,-170.0,0.0,-115.0,0.0,-285.0,True,256.0,34.0,79520.0,571.0,280.0,79520.0,564.0,280.0
25,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_25.txt,0.0,-43.0,0.0,-43.0,0.0,-12.0,0.0,-12.0,0.0,-12.0,0.0,-55.0,True,256.0,27.0,62059.0,520.0,232.0,45872.0,432.0,188.0
26,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_26.txt,0.0,-152.0,0.0,-152.0,0.0,-139.0,0.0,-139.0,0.0,-139.0,0.0,-291.0,True,256.0,34.0,87346.0,605.0,274.0,82276.0,575.0,268.0
27,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_27.txt,0.0,-225.0,0.0,-225.0,0.0,-19.0,0.0,-19.0,0.0,-19.0,0.0,-244.0,True,256.0,29.0,62491.0,527.0,247.0,60788.0,516.0,182.0
28,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_28.txt,0.0,-162.0,0.0,-162.0,0.0,-57.0,0.0,-57.0,0.0,-57.0,0.0,-219.0,True,256.0,33.0,70782.0,533.0,251.0,65473.0,514.0,233.0
29,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_29.txt,0.0,-184.0,0.0,-184.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,-104.0,False,256.0,15.0,58800.0,492.0,238.0,49755.0,476.0,155.0
30,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_30.txt,0.0,-149.0,0.0,-149.0,0.0,-133.0,0.0,-133.0,0.0,-133.0,0.0,-282.0,True,256.0,33.0,68117.0,522.0,259.0,68117.0,522.0,259.0
31,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_31.txt,0.0,-90.0,0.0,-90.0,0.0,-175.0,0.0,-175.0,0.0,-90.0,0.0,-265.0,True,256.0,27.0,73406.0,547.0,258.0,73080.0,547.0,232.0
32,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_32.txt,0.0,-97.0,0.0,-97.0,0.0,-34.0,0.0,-34.0,0.0,-34.0,0.0,-131.0,True,256.0,18.0,50960.0,462.0,220.0,43056.0,418.0,184.0
33,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_33.txt,0.0,-44.0,0.0,-44.0,0.0,-227.0,0.0,-227.0,0.0,-44.0,0.0,-271.0,True,256.0,30.0,108275.0,660.0,305.0,108275.0,660.0,305.0
34,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_34.txt,0.0,-117.0,0.0,-117.0,0.0,-298.0,0.0,-298.0,0.0,-117.0,0.0,-415.0,True,256.0,49.0,67947.0,549.0,234.0,66432.0,538.0,192.0
35,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_35.txt,0.0,-88.0,0.0,-88.0,0.0,-206.0,0.0,-206.0,0.0,-88.0,0.0,-294.0,True,256.0,32.0,84864.0,584.0,280.0,84864.0,584.0,272.0
36,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_36.txt,0.0,-93.0,0.0,-93.0,0.0,-167.0,0.0,-167.0,0.0,-93.0,0.0,-260.0,True,256.0,35.0,76960.0,556.0,260.0,73332.0,543.0,252.0
37,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_37.txt,0.0,-171.0,0.0,-171.0,0.0,-27.0,0.0,-27.0,0.0,-27.0,0.0,-198.0,True,256.0,29.0,48138.0,453.0,213.0,47642.0,453.0,166.0
38,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_38.txt,0.0,-30.0,0.0,-30.0,0.0,-204.0,0.0,-204.0,0.0,-30.0,0.0,-234.0,True,256.0,34.0,64015.0,512.0,250.0,63750.0,505.0,250.0
39,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_39.txt,0.0,-64.0,0.0,-64.0,0.0,-17.0,0.0,-17.0,0.0,-17.0,0.0,-81.0,True,256.0,29.0,40915.0,429.0,181.0,27776.0,348.0,124.0
40,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_40.txt,0.0,-125.0,0.0,-125.0,0.0,-67.0,0.0,-67.0,0.0,-67.0,0.0,-192.0,True,256.0,23.0,66220.0,523.0,238.0,61272.0,498.0,222.0
41,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_41.txt,0.0,-98.0,0.0,-98.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,-35.0,False,256.0,19.0,46029.0,442.0,213.0,35074.0,389.0,142.0
42,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_42.txt,0.0,-150.0,0.0,-150.0,0.0,-112.0,0.0,-112.0,0.0,-112.0,0.0,-262.0,True,256.0,22.0,79818.0,569.0,256.0,71685.0,538.0,243.0
43,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_43.txt,0.0,-53.0,0.0,-53.0,0.0,-109.0,0.0,-109.0,0.0,-53.0,0.0,-162.0,True,256.0,18.0,42075.0,412.0,189.0,42075.0,412.0,187.0
44,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_44.txt,0.0,-235.0,0.0,-235.0,0.0,-145.0,0.0,-145.0,0.0,-145.0,0.0,-380.0,True,256.0,42.0,73590.0,553.0,251.0,73590.0,553.0,223.0
45,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_45.txt,0.0,-132.0,0.0,-132.0,0.0,-200.0,0.0,-200.0,0.0,-132.0,0.0,-332.0,True,256.0,37.0,64184.0,510.0,228.0,64184.0,510.0,226.0
46,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_46.txt,0.0,-82.0,0.0,-82.0,0.0,-197.0,0.0,-197.0,0.0,-82.0,0.0,-279.0,True,256.0,35.0,75390.0,587.0,268.0,75390.0,569.0,210.0
47,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_47.txt,0.0,-150.0,0.0,-150.0,0.0,-145.0,0.0,-145.0,0.0,-145.0,0.0,-295.0,True,256.0,33.0,72072.0,538.0,252.0,72072.0,538.0,252.0
48,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_48.txt,0.0,-56.0,0.0,-56.0,0.0,-78.0,0.0,-78.0,0.0,-56.0,0.0,-134.0,True,256.0,27.0,62677.0,517.0,242.0,53265.0,466.0,201.0
49,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_49.txt,0.0,-131.0,0.0,-131.0,0.0,-145.0,0.0,-145.0,0.0,-131.0,0.0,-276.0,True,256.0,21.0,99840.0,632.0,312.0,99840.0,632.0,312.0
50,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_50.txt,91.0,91.0,91.0,91.0,0.0,-122.0,0.0,-122.0,91.0,91.0,91.0,-31.0,False,256.0,31.0,62965.0,502.0,245.0,36180.0,404.0,134.0
51,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_51.txt,0.0,-57.0,0.0,-57.0,0.0,-130.0,0.0,-130.0,0.0,-57.0,0.0,-187.0,True,256.0,38.0,75192.0,553.0,269.0,59555.0,492.0,215.0
52,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_52.txt,0.0,-183.0,0.0,-183.0,0.0,-35.0,0.0,-35.0,0.0,-35.0,0.0,-218.0,True,256.0,22.0,69750.0,535.0,257.0,69750.0,535.0,225.0
53,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_53.txt,27.0,27.0,27.0,27.0,0.0,-276.0,0.0,-276.0,27.0,27.0,27.0,-249.0,False,256.0,33.0,61246.0,498.0,230.0,53165.0,498.0,155.0
54,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_54.txt,0.0,-207.0,0.0,-207.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,-188.0,False,256.0,29.0,58905.0,521.0,234.0,46843.0,476.0,139.0
55,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_55.txt,0.0,-63.0,0.0,-63.0,0.0,-205.0,0.0,-205.0,0.0,-63.0,0.0,-268.0,True,256.0,38.0,48276.0,460.0,201.0,48276.0,460.0,162.0
56,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_56.txt,113.0,113.0,113.0,113.0,0.0,-241.0,0.0,-241.0,113.0,113.0,113.0,-128.0,False,256.0,25.0,49920.0,459.0,208.0,45657.0,438.0,171.0
57,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_57.txt,0.0,-243.0,0.0,-243.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,-231.0,False,256.0,26.0,74250.0,566.0,266.0,66836.0,537.0,196.0
58,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_58.txt,18.0,18.0,18.0,18.0,0.0,-227.0,0.0,-227.0,18.0,18.0,18.0,-209.0,False,256.0,26.0,73830.0,551.0,256.0,73830.0,551.0,230.0
59,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_59.txt,0.0,-80.0,0.0,-80.0,0.0,-126.0,0.0,-126.0,0.0,-80.0,0.0,-206.0,True,256.0,33.0,56759.0,480.0,214.0,49434.0,445.0,214.0
60,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_60.txt,0.0,-76.0,0.0,-76.0,0.0,-106.0,0.0,-106.0,0.0,-76.0,0.0,-182.0,True,256.0,21.0,74168.0,548.0,257.0,70812.0,533.0,252.0
61,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_61.txt,40.0,40.0,40.0,40.0,0.0,-196.0,0.0,-196.0,40.0,40.0,40.0,-156.0,False,256.0,35.0,70052.0,591.0,244.0,44982.0,483.0,126.0
62,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_62.txt,0.0,-166.0,0.0,-166.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,-129.0,False,256.0,25.0,63440.0,504.0,244.0,49698.0,449.0,198.0
63,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_63.txt,3.0,3.0,3.0,3.0,0.0,-186.0,0.0,-186.0,3.0,3.0,3.0,-183.0,False,256.0,24.0,73612.0,547.0,259.0,61815.0,512.0,195.0
64,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_64.txt,0.0,-246.0,0.0,-246.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,-228.0,False,256.0,27.0,79500.0,570.0,271.0,75449.0,570.0,209.0
65,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_65.txt,0.0,-46.0,0.0,-46.0,0.0,-30.0,0.0,-30.0,0.0,-30.0,0.0,-76.0,True,256.0,26.0,63480.0,506.0,230.0,46258.0,431.0,202.0
66,uniform,outputs/agents_2/items_8/gpt4o/persona_based0/output_66.txt,0.0,-30.0,0.0,-30.0,0.0,-59.0,0.0,-59.0,0.0,-30.0,0.0,-89.0,True,256.0,33.0,84835.0,601.0,270.0,54526.0,473.0,199.0
