Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Agent_6_Max,Agent_6_Max_Unclipped,Agent_6_Sum,Agent_6_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_6/items_7/gpt4o/zero_shot4/output_1.txt,144.0,144.0,295.0,280.0,31.0,31.0,47.0,-159.0,31.0,31.0,31.0,-193.0,26.0,26.0,26.0,-254.0,0.0,-4.0,0.0,-174.0,11.0,11.0,11.0,-96.0,144.0,144.0,410.0,-596.0,False,279936.0,0.0,616536645120.0,578.0,80.0,56196277200.0,434.0,23.0
2,uniform,outputs/agents_6/items_7/gpt4o/zero_shot4/output_2.txt,0.0,-11.0,0.0,-290.0,81.0,81.0,158.0,16.0,36.0,36.0,36.0,-199.0,22.0,22.0,22.0,-96.0,39.0,39.0,39.0,-238.0,0.0,-1.0,0.0,-203.0,81.0,81.0,255.0,-1010.0,False,279936.0,0.0,608624907264.0,620.0,83.0,210187698336.0,535.0,21.0
3,uniform,outputs/agents_6/items_7/gpt4o/zero_shot4/output_3.txt,66.0,66.0,185.0,177.0,66.0,66.0,66.0,-215.0,100.0,100.0,165.0,53.0,43.0,43.0,43.0,-226.0,87.0,87.0,87.0,-228.0,0.0,-84.0,0.0,-544.0,100.0,100.0,546.0,-983.0,False,279936.0,0.0,607333912416.0,592.0,81.0,0.0,544.0,0.0
4,uniform,outputs/agents_6/items_7/gpt4o/zero_shot4/output_4.txt,2.0,2.0,2.0,-172.0,0.0,-12.0,0.0,-247.0,56.0,56.0,124.0,79.0,0.0,-11.0,0.0,-281.0,14.0,14.0,14.0,-287.0,0.0,-27.0,0.0,-366.0,56.0,56.0,140.0,-1274.0,False,279936.0,0.0,430498696320.0,587.0,71.0,300587687400.0,540.0,53.0
5,uniform,outputs/agents_6/items_7/gpt4o/zero_shot4/output_5.txt,116.0,116.0,139.0,22.0,46.0,46.0,46.0,-236.0,80.0,80.0,80.0,-255.0,0.0,-72.0,0.0,-588.0,61.0,61.0,61.0,-236.0,35.0,35.0,50.0,-81.0,116.0,116.0,376.0,-1374.0,False,279936.0,0.0,609887232000.0,616.0,75.0,0.0,588.0,0.0
6,uniform,outputs/agents_6/items_7/gpt4o/zero_shot4/output_6.txt,17.0,17.0,53.0,12.0,0.0,-33.0,0.0,-281.0,0.0,0.0,0.0,-296.0,11.0,11.0,11.0,-246.0,0.0,-42.0,0.0,-419.0,0.0,-15.0,0.0,-296.0,17.0,17.0,64.0,-1526.0,False,279936.0,1.0,873333835200.0,605.0,83.0,873333835200.0,604.0,81.0
7,uniform,outputs/agents_6/items_7/gpt4o/zero_shot4/output_7.txt,31.0,31.0,59.0,-92.0,4.0,4.0,4.0,-238.0,0.0,-36.0,0.0,-309.0,0.0,-32.0,0.0,-324.0,0.0,-25.0,0.0,-289.0,0.0,-31.0,0.0,-305.0,31.0,31.0,63.0,-1557.0,False,279936.0,0.0,1163773111410.0,648.0,90.0,1163773111410.0,637.0,87.0
8,uniform,outputs/agents_6/items_7/gpt4o/zero_shot4/output_8.txt,83.0,83.0,200.0,156.0,30.0,30.0,31.0,-134.0,0.0,0.0,0.0,-309.0,0.0,-5.0,0.0,-245.0,30.0,30.0,45.0,-157.0,71.0,71.0,101.0,-110.0,83.0,83.0,377.0,-799.0,False,279936.0,0.0,705659834880.0,594.0,86.0,98364602700.0,496.0,17.0
9,uniform,outputs/agents_6/items_7/gpt4o/zero_shot4/output_9.txt,138.0,138.0,244.0,49.0,0.0,0.0,0.0,-605.0,116.0,116.0,188.0,68.0,0.0,0.0,0.0,-605.0,70.0,70.0,95.0,-391.0,119.0,119.0,206.0,-13.0,138.0,138.0,733.0,-1497.0,False,279936.0,0.0,697609747500.0,605.0,76.0,0.0,605.0,0.0
10,uniform,outputs/agents_6/items_7/gpt4o/zero_shot4/output_10.txt,0.0,-13.0,0.0,-276.0,16.0,16.0,16.0,-324.0,32.0,32.0,32.0,-214.0,0.0,-19.0,0.0,-296.0,5.0,5.0,5.0,-230.0,0.0,-1.0,0.0,-102.0,32.0,32.0,53.0,-1442.0,False,279936.0,0.0,868072788000.0,639.0,81.0,699719277600.0,602.0,56.0
