Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_1.txt,153.0,153.0,237.0,203.0,76.0,76.0,76.0,-41.0,74.0,74.0,76.0,-102.0,29.0,29.0,29.0,-159.0,0.0,-18.0,0.0,-199.0,153.0,153.0,418.0,-298.0,False,15625.0,0.0,6779284512.0,517.0,76.0,0.0,342.0,0.0
2,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_2.txt,72.0,72.0,85.0,-173.0,146.0,146.0,280.0,280.0,0.0,-56.0,0.0,-518.0,66.0,66.0,66.0,-291.0,1.0,1.0,1.0,-415.0,146.0,146.0,432.0,-1117.0,False,15625.0,0.0,7721235200.0,518.0,80.0,0.0,518.0,0.0
3,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_3.txt,0.0,-6.0,0.0,-101.0,0.0,-20.0,0.0,-307.0,3.0,3.0,3.0,-208.0,0.0,-27.0,0.0,-332.0,0.0,-40.0,0.0,-309.0,3.0,3.0,3.0,-1257.0,False,15625.0,0.0,6303579840.0,496.0,76.0,6303579840.0,489.0,57.0
4,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_4.txt,0.0,-25.0,0.0,-202.0,0.0,-10.0,0.0,-152.0,0.0,-21.0,0.0,-243.0,0.0,-13.0,0.0,-177.0,34.0,34.0,34.0,-82.0,34.0,34.0,34.0,-856.0,False,15625.0,0.0,5791772160.0,466.0,68.0,5791772160.0,453.0,68.0
5,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_5.txt,0.0,-11.0,0.0,-254.0,54.0,54.0,54.0,-47.0,0.0,-2.0,0.0,-178.0,0.0,-20.0,0.0,-226.0,0.0,-12.0,0.0,-219.0,54.0,54.0,54.0,-924.0,False,15625.0,0.0,9512325882.0,540.0,81.0,9512325882.0,526.0,73.0
6,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_6.txt,0.0,-10.0,0.0,-156.0,9.0,9.0,9.0,-142.0,14.0,14.0,19.0,-87.0,0.0,-7.0,0.0,-138.0,47.0,47.0,77.0,21.0,47.0,47.0,105.0,-502.0,False,15625.0,0.0,6899284080.0,490.0,78.0,3324598200.0,402.0,72.0
7,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_7.txt,101.0,101.0,138.0,79.0,0.0,-30.0,0.0,-251.0,0.0,-21.0,0.0,-236.0,0.0,-21.0,0.0,-195.0,1.0,1.0,1.0,-219.0,101.0,101.0,139.0,-822.0,False,15625.0,0.0,6633925662.0,515.0,73.0,5801679450.0,476.0,59.0
8,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_8.txt,0.0,-17.0,0.0,-247.0,10.0,10.0,10.0,-146.0,20.0,20.0,39.0,39.0,0.0,-16.0,0.0,-274.0,0.0,-29.0,0.0,-302.0,20.0,20.0,49.0,-930.0,False,15625.0,0.0,4278296880.0,467.0,72.0,4278296880.0,457.0,55.0
9,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_9.txt,29.0,29.0,33.0,7.0,0.0,-56.0,0.0,-345.0,0.0,-62.0,0.0,-335.0,0.0,0.0,0.0,-306.0,0.0,-38.0,0.0,-286.0,29.0,29.0,33.0,-1265.0,False,15625.0,0.0,10174446594.0,522.0,87.0,10174446594.0,522.0,82.0
10,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_10.txt,0.0,-37.0,0.0,-317.0,0.0,-8.0,0.0,-235.0,34.0,34.0,42.0,-11.0,0.0,-11.0,0.0,-259.0,0.0,-4.0,0.0,-162.0,34.0,34.0,42.0,-984.0,False,15625.0,1.0,4242715689.0,468.0,71.0,3292433655.0,447.0,35.0
11,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_11.txt,40.0,40.0,40.0,-278.0,91.0,91.0,130.0,-5.0,13.0,13.0,24.0,-215.0,0.0,-76.0,0.0,-478.0,86.0,86.0,86.0,-136.0,91.0,91.0,280.0,-1112.0,False,15625.0,0.0,5087156976.0,478.0,72.0,0.0,478.0,0.0
12,uniform,outputs/agents_5/items_6/gpt4o/zero_shot3/output_12.txt,0.0,-8.0,0.0,-249.0,0.0,-11.0,0.0,-183.0,10.0,10.0,16.0,-6.0,0.0,-35.0,0.0,-232.0,0.0,-50.0,0.0,-277.0,10.0,10.0,16.0,-947.0,False,15625.0,0.0,5789200896.0,460.0,76.0,5408332416.0,460.0,62.0
