Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_4/items_8/gpt4o/zero_shot1/output_1.txt,14.0,14.0,14.0,-191.0,0.0,-17.0,0.0,-263.0,0.0,-68.0,0.0,-328.0,33.0,33.0,55.0,-27.0,33.0,33.0,69.0,-809.0,False,65536.0,14.0,416750880.0,598.0,119.0,342229916.0,566.0,98.0
2,uniform,outputs/agents_4/items_8/gpt4o/zero_shot1/output_2.txt,80.0,80.0,80.0,-93.0,3.0,3.0,3.0,-177.0,0.0,-20.0,0.0,-84.0,0.0,-30.0,0.0,-96.0,80.0,80.0,83.0,-450.0,False,65536.0,7.0,469319760.0,660.0,133.0,243431640.0,528.0,73.0
3,uniform,outputs/agents_4/items_8/gpt4o/zero_shot1/output_3.txt,141.0,141.0,141.0,-10.0,111.0,111.0,111.0,-4.0,98.0,98.0,98.0,-101.0,0.0,-37.0,0.0,-196.0,141.0,141.0,350.0,-311.0,False,65536.0,20.0,654924270.0,690.0,145.0,31092300.0,528.0,6.0
4,uniform,outputs/agents_4/items_8/gpt4o/zero_shot1/output_4.txt,15.0,15.0,15.0,-91.0,40.0,40.0,40.0,-84.0,0.0,-38.0,0.0,-276.0,0.0,-29.0,0.0,-180.0,40.0,40.0,55.0,-631.0,False,65536.0,5.0,361655280.0,579.0,119.0,255857616.0,523.0,84.0
5,uniform,outputs/agents_4/items_8/gpt4o/zero_shot1/output_5.txt,0.0,-53.0,0.0,-215.0,0.0,-1.0,0.0,-99.0,0.0,-56.0,0.0,-272.0,0.0,0.0,0.0,-128.0,0.0,0.0,0.0,-714.0,True,65536.0,20.0,317506464.0,567.0,109.0,269224032.0,524.0,98.0
6,uniform,outputs/agents_4/items_8/gpt4o/zero_shot1/output_6.txt,0.0,-48.0,0.0,-250.0,0.0,-8.0,0.0,-279.0,0.0,-45.0,0.0,-237.0,0.0,-68.0,0.0,-307.0,0.0,-8.0,0.0,-1073.0,True,65536.0,24.0,624583400.0,661.0,132.0,566773200.0,633.0,105.0
7,uniform,outputs/agents_4/items_8/gpt4o/zero_shot1/output_7.txt,0.0,-78.0,0.0,-324.0,37.0,37.0,37.0,0.0,0.0,-9.0,0.0,-199.0,37.0,37.0,37.0,-25.0,37.0,37.0,74.0,-548.0,False,65536.0,13.0,353693340.0,557.0,118.0,192562356.0,494.0,74.0
8,uniform,outputs/agents_4/items_8/gpt4o/zero_shot1/output_8.txt,230.0,230.0,254.0,254.0,0.0,-94.0,0.0,-636.0,78.0,78.0,114.0,-182.0,67.0,67.0,67.0,-387.0,230.0,230.0,435.0,-951.0,False,65536.0,8.0,464877000.0,638.0,129.0,0.0,636.0,0.0
9,uniform,outputs/agents_4/items_8/gpt4o/zero_shot1/output_9.txt,0.0,-38.0,0.0,-264.0,77.0,77.0,77.0,-55.0,23.0,23.0,23.0,-124.0,0.0,-51.0,0.0,-258.0,77.0,77.0,100.0,-701.0,False,65536.0,10.0,586811225.0,658.0,131.0,393224688.0,588.0,87.0
10,uniform,outputs/agents_4/items_8/gpt4o/zero_shot1/output_10.txt,2.0,2.0,2.0,-114.0,0.0,-18.0,0.0,-206.0,4.0,4.0,4.0,-188.0,0.0,-49.0,0.0,-228.0,4.0,4.0,6.0,-736.0,False,65536.0,16.0,716610048.0,698.0,146.0,376071552.0,565.0,108.0
