Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_4/items_6/gpt4o/zero_shot1/output_1.txt,46.0,46.0,46.0,-243.0,0.0,-85.0,0.0,-513.0,151.0,151.0,238.0,238.0,132.0,132.0,132.0,-104.0,151.0,151.0,416.0,-622.0,False,4096.0,0.0,182648000.0,513.0,92.0,0.0,513.0,0.0
2,uniform,outputs/agents_4/items_6/gpt4o/zero_shot1/output_2.txt,170.0,170.0,270.0,270.0,13.0,13.0,13.0,-207.0,62.0,62.0,62.0,-178.0,0.0,-6.0,0.0,-165.0,170.0,170.0,345.0,-280.0,False,4096.0,0.0,230213808.0,546.0,96.0,28845312.0,378.0,23.0
3,uniform,outputs/agents_4/items_6/gpt4o/zero_shot1/output_3.txt,118.0,118.0,136.0,136.0,65.0,65.0,65.0,-130.0,11.0,11.0,11.0,-227.0,0.0,-9.0,0.0,-179.0,118.0,118.0,212.0,-400.0,False,4096.0,0.0,148005000.0,481.0,87.0,8068032.0,353.0,6.0
4,uniform,outputs/agents_4/items_6/gpt4o/zero_shot1/output_4.txt,17.0,17.0,26.0,25.0,38.0,38.0,53.0,-38.0,2.0,2.0,2.0,-123.0,0.0,-5.0,0.0,-69.0,38.0,38.0,81.0,-205.0,False,4096.0,1.0,53651136.0,471.0,72.0,25617312.0,318.0,42.0
5,uniform,outputs/agents_4/items_6/gpt4o/zero_shot1/output_5.txt,51.0,51.0,57.0,23.0,0.0,-10.0,0.0,-269.0,0.0,-52.0,0.0,-305.0,8.0,8.0,8.0,-126.0,51.0,51.0,65.0,-677.0,False,4096.0,5.0,43455456.0,398.0,61.0,21877368.0,376.0,17.0
6,uniform,outputs/agents_4/items_6/gpt4o/zero_shot1/output_6.txt,71.0,71.0,95.0,68.0,54.0,54.0,54.0,-38.0,0.0,-87.0,0.0,-354.0,34.0,34.0,34.0,-133.0,71.0,71.0,183.0,-457.0,False,4096.0,0.0,38267385.0,358.0,65.0,0.0,354.0,0.0
7,uniform,outputs/agents_4/items_6/gpt4o/zero_shot1/output_7.txt,0.0,-90.0,0.0,-348.0,94.0,94.0,119.0,10.0,42.0,42.0,42.0,-220.0,99.0,99.0,122.0,57.0,99.0,99.0,283.0,-501.0,False,4096.0,0.0,264986540.0,533.0,97.0,77172015.0,494.0,23.0
8,uniform,outputs/agents_4/items_6/gpt4o/zero_shot1/output_8.txt,2.0,2.0,2.0,-236.0,28.0,28.0,28.0,-53.0,0.0,-55.0,0.0,-282.0,11.0,11.0,11.0,-82.0,28.0,28.0,41.0,-653.0,False,4096.0,0.0,198723888.0,528.0,93.0,188546400.0,505.0,75.0
9,uniform,outputs/agents_4/items_6/gpt4o/zero_shot1/output_9.txt,46.0,46.0,75.0,-3.0,11.0,11.0,11.0,-110.0,12.0,12.0,12.0,-172.0,0.0,-27.0,0.0,-236.0,46.0,46.0,98.0,-521.0,False,4096.0,1.0,101977920.0,428.0,92.0,76661760.0,395.0,64.0
10,uniform,outputs/agents_4/items_6/gpt4o/zero_shot1/output_10.txt,0.0,-34.0,0.0,-224.0,0.0,-29.0,0.0,-217.0,29.0,29.0,40.0,-43.0,1.0,1.0,1.0,-120.0,29.0,29.0,41.0,-604.0,False,4096.0,0.0,112052810.0,459.0,80.0,112052810.0,443.0,67.0
