Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_1.txt,0.0,-170.0,0.0,-390.0,0.0,-64.0,0.0,-137.0,0.0,-6.0,0.0,-120.0,0.0,-6.0,0.0,-647.0,True,19683.0,125.0,12351000.0,719.0,213.0,12351000.0,705.0,179.0
2,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_2.txt,0.0,-1.0,0.0,-88.0,0.0,-57.0,0.0,-239.0,0.0,-32.0,0.0,-127.0,0.0,-1.0,0.0,-454.0,True,19683.0,71.0,10031320.0,670.0,191.0,7257555.0,597.0,153.0
3,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_3.txt,0.0,-131.0,0.0,-287.0,0.0,-3.0,0.0,-28.0,0.0,-105.0,0.0,-284.0,0.0,-3.0,0.0,-599.0,True,19683.0,145.0,13687740.0,726.0,229.0,11462440.0,677.0,218.0
4,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_4.txt,0.0,-47.0,0.0,-97.0,39.0,39.0,39.0,-54.0,0.0,-87.0,0.0,-260.0,39.0,39.0,39.0,-411.0,False,19683.0,111.0,10762224.0,677.0,206.0,5525362.0,542.0,142.0
5,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_5.txt,0.0,-34.0,0.0,-117.0,0.0,-53.0,0.0,-161.0,0.0,-89.0,0.0,-195.0,0.0,-34.0,0.0,-473.0,True,19683.0,76.0,9249600.0,638.0,198.0,8096784.0,604.0,188.0
6,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_6.txt,0.0,-99.0,0.0,-210.0,0.0,-63.0,0.0,-157.0,0.0,-124.0,0.0,-251.0,0.0,-63.0,0.0,-618.0,True,19683.0,222.0,8681400.0,673.0,183.0,6655194.0,574.0,153.0
7,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_7.txt,0.0,-30.0,0.0,-234.0,0.0,-119.0,0.0,-402.0,64.0,64.0,64.0,5.0,64.0,64.0,64.0,-631.0,False,19683.0,99.0,14516700.0,766.0,236.0,11619840.0,735.0,128.0
8,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_8.txt,29.0,29.0,29.0,-106.0,30.0,30.0,30.0,-96.0,0.0,-62.0,0.0,-264.0,30.0,30.0,59.0,-466.0,False,19683.0,137.0,12477339.0,738.0,220.0,9013312.0,629.0,176.0
9,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_9.txt,46.0,46.0,46.0,-29.0,39.0,39.0,39.0,-42.0,0.0,-109.0,0.0,-261.0,46.0,46.0,85.0,-332.0,False,19683.0,64.0,5491962.0,534.0,167.0,3583800.0,491.0,90.0
10,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_10.txt,0.0,-27.0,0.0,-60.0,30.0,30.0,30.0,-82.0,0.0,-104.0,0.0,-215.0,30.0,30.0,30.0,-357.0,False,19683.0,97.0,11884158.0,708.0,205.0,9459450.0,638.0,195.0
11,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_11.txt,0.0,-55.0,0.0,-145.0,0.0,-163.0,0.0,-335.0,0.0,-36.0,0.0,-94.0,0.0,-36.0,0.0,-574.0,True,19683.0,158.0,7389868.0,601.0,181.0,6474960.0,572.0,138.0
12,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_12.txt,0.0,-125.0,0.0,-294.0,0.0,-86.0,0.0,-193.0,0.0,-32.0,0.0,-104.0,0.0,-32.0,0.0,-591.0,True,19683.0,140.0,9820910.0,661.0,192.0,7742788.0,608.0,167.0
13,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_13.txt,45.0,45.0,45.0,30.0,58.0,58.0,58.0,-37.0,0.0,-47.0,0.0,-217.0,58.0,58.0,103.0,-224.0,False,19683.0,114.0,13491500.0,726.0,223.0,5805684.0,557.0,134.0
14,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_14.txt,0.0,-52.0,0.0,-214.0,0.0,-12.0,0.0,-93.0,0.0,-118.0,0.0,-294.0,0.0,-12.0,0.0,-601.0,True,19683.0,177.0,8382798.0,650.0,177.0,7378954.0,602.0,139.0
15,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_15.txt,0.0,-44.0,0.0,-175.0,0.0,-28.0,0.0,-131.0,0.0,-128.0,0.0,-310.0,0.0,-28.0,0.0,-616.0,True,19683.0,202.0,9460266.0,636.0,201.0,6352512.0,574.0,128.0
16,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_16.txt,81.0,81.0,81.0,4.0,104.0,104.0,104.0,-59.0,0.0,-62.0,0.0,-185.0,104.0,104.0,185.0,-240.0,False,19683.0,98.0,7585032.0,640.0,184.0,2595840.0,500.0,52.0
17,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_17.txt,7.0,7.0,7.0,-2.0,0.0,-22.0,0.0,-180.0,88.0,88.0,88.0,76.0,88.0,88.0,95.0,-106.0,False,19683.0,139.0,8077890.0,723.0,173.0,2924100.0,479.0,95.0
18,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_18.txt,0.0,-163.0,0.0,-433.0,94.0,94.0,94.0,-31.0,60.0,60.0,66.0,66.0,94.0,94.0,160.0,-398.0,False,19683.0,111.0,8568000.0,645.0,185.0,2458872.0,562.0,37.0
19,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_19.txt,71.0,71.0,71.0,44.0,0.0,-105.0,0.0,-404.0,0.0,-49.0,0.0,-322.0,71.0,71.0,71.0,-682.0,False,19683.0,104.0,11020450.0,679.0,189.0,9720825.0,679.0,155.0
20,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_20.txt,0.0,-62.0,0.0,-211.0,0.0,-34.0,0.0,-91.0,0.0,-25.0,0.0,-113.0,0.0,-25.0,0.0,-415.0,True,19683.0,106.0,7210566.0,587.0,183.0,6109290.0,550.0,165.0
21,uniform,outputs/agents_3/items_9/gpt4o/zero_shot1/output_21.txt,0.0,-88.0,0.0,-203.0,0.0,-44.0,0.0,-108.0,3.0,3.0,3.0,-82.0,3.0,3.0,3.0,-393.0,False,19683.0,103.0,7048120.0,582.0,175.0,5610124.0,534.0,169.0
