Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_5/items_8/gpt4o/zero_shot3/output_1.txt,68.0,68.0,68.0,2.0,16.0,16.0,32.0,9.0,0.0,-24.0,0.0,-350.0,0.0,-38.0,0.0,-351.0,55.0,55.0,57.0,-128.0,68.0,68.0,157.0,-818.0,False,390625.0,0.0,36445368960.0,692.0,96.0,21775772928.0,611.0,78.0
2,uniform,outputs/agents_5/items_8/gpt4o/zero_shot3/output_2.txt,0.0,-31.0,0.0,-484.0,56.0,56.0,73.0,-54.0,25.0,25.0,25.0,-269.0,65.0,65.0,91.0,-37.0,0.0,-15.0,0.0,-454.0,65.0,65.0,189.0,-1298.0,False,390625.0,0.0,30510865000.0,667.0,95.0,24753216600.0,666.0,54.0
3,uniform,outputs/agents_5/items_8/gpt4o/zero_shot3/output_3.txt,0.0,-31.0,0.0,-494.0,44.0,44.0,44.0,-131.0,0.0,-36.0,0.0,-424.0,17.0,17.0,32.0,-173.0,20.0,20.0,20.0,-432.0,44.0,44.0,96.0,-1654.0,False,390625.0,2.0,38203929568.0,718.0,98.0,30992658956.0,705.0,73.0
4,uniform,outputs/agents_5/items_8/gpt4o/zero_shot3/output_4.txt,6.0,6.0,6.0,-154.0,0.0,-52.0,0.0,-378.0,22.0,22.0,29.0,-68.0,0.0,-22.0,0.0,-290.0,12.0,12.0,12.0,-124.0,22.0,22.0,47.0,-1014.0,False,390625.0,0.0,33100906300.0,683.0,92.0,25427001600.0,633.0,77.0
5,uniform,outputs/agents_5/items_8/gpt4o/zero_shot3/output_5.txt,120.0,120.0,120.0,-5.0,116.0,116.0,120.0,-119.0,86.0,86.0,86.0,-423.0,95.0,95.0,95.0,-119.0,0.0,-84.0,0.0,-687.0,120.0,120.0,421.0,-1353.0,False,390625.0,0.0,31802652000.0,689.0,95.0,0.0,687.0,0.0
6,uniform,outputs/agents_5/items_8/gpt4o/zero_shot3/output_6.txt,14.0,14.0,14.0,-153.0,63.0,63.0,113.0,12.0,0.0,-12.0,0.0,-430.0,0.0,-1.0,0.0,-115.0,0.0,-27.0,0.0,-407.0,63.0,63.0,127.0,-1093.0,False,390625.0,0.0,30269725920.0,656.0,89.0,28215624240.0,646.0,83.0
7,uniform,outputs/agents_5/items_8/gpt4o/zero_shot3/output_7.txt,186.0,186.0,262.0,217.0,3.0,3.0,3.0,-522.0,90.0,90.0,96.0,-232.0,72.0,72.0,91.0,-194.0,0.0,-46.0,0.0,-641.0,186.0,186.0,452.0,-1372.0,False,390625.0,3.0,26728047360.0,650.0,97.0,0.0,641.0,0.0
8,uniform,outputs/agents_5/items_8/gpt4o/zero_shot3/output_8.txt,77.0,77.0,128.0,20.0,3.0,3.0,3.0,-360.0,106.0,106.0,136.0,-78.0,0.0,-9.0,0.0,-339.0,21.0,21.0,28.0,-168.0,106.0,106.0,295.0,-925.0,False,390625.0,0.0,43836811200.0,739.0,97.0,6806310210.0,582.0,21.0
9,uniform,outputs/agents_5/items_8/gpt4o/zero_shot3/output_9.txt,15.0,15.0,15.0,-65.0,0.0,-24.0,0.0,-219.0,0.0,-20.0,0.0,-221.0,0.0,-21.0,0.0,-324.0,25.0,25.0,25.0,-246.0,25.0,25.0,40.0,-1075.0,False,390625.0,2.0,24805828800.0,632.0,90.0,14192876700.0,551.0,85.0
10,uniform,outputs/agents_5/items_8/gpt4o/zero_shot3/output_10.txt,36.0,36.0,36.0,-144.0,0.0,-54.0,0.0,-442.0,0.0,-74.0,0.0,-429.0,47.0,47.0,66.0,-64.0,0.0,-14.0,0.0,-187.0,47.0,47.0,102.0,-1266.0,False,390625.0,0.0,44791630884.0,704.0,98.0,37058224896.0,668.0,98.0
