Test_Id,Distribution,output_file_path,Agent_1_Max,Agent_1_Max_Unclipped,Agent_1_Sum,Agent_1_Sum_Unclipped,Agent_2_Max,Agent_2_Max_Unclipped,Agent_2_Sum,Agent_2_Sum_Unclipped,Agent_3_Max,Agent_3_Max_Unclipped,Agent_3_Sum,Agent_3_Sum_Unclipped,Agent_4_Max,Agent_4_Max_Unclipped,Agent_4_Sum,Agent_4_Sum_Unclipped,Agent_5_Max,Agent_5_Max_Unclipped,Agent_5_Sum,Agent_5_Sum_Unclipped,Max_Envies,Max_Envies_Unclipped,Sum_Envies,Sum_Envies_Unclipped,Envy_Freeness,Number_of_Possible_Allocations,Number_of_Envy_Free_Allocations,Max_Nash_Welfare,Max_Utilitarian_Welfare,Max_Egalitarian_Welfare,LLM_Nash_Welfare,LLM_Utilitarian_Welfare,LLM_Egalitarian_Welfare
1,uniform,outputs/agents_5/items_9/gpt4o/zero_shot3/output_1.txt,0.0,-30.0,0.0,-328.0,61.0,61.0,98.0,85.0,53.0,53.0,53.0,-225.0,104.0,104.0,120.0,35.0,98.0,98.0,201.0,135.0,104.0,104.0,472.0,-298.0,False,1953125.0,0.0,73973072810.0,805.0,98.0,4881089360.0,587.0,14.0
2,uniform,outputs/agents_5/items_9/gpt4o/zero_shot3/output_2.txt,11.0,11.0,11.0,-200.0,34.0,34.0,55.0,-59.0,30.0,30.0,55.0,-98.0,0.0,-10.0,0.0,-229.0,0.0,-50.0,0.0,-395.0,34.0,34.0,121.0,-981.0,False,1953125.0,1.0,86582789760.0,811.0,98.0,45527097000.0,698.0,95.0
3,uniform,outputs/agents_5/items_9/gpt4o/zero_shot3/output_3.txt,0.0,-7.0,0.0,-307.0,12.0,12.0,12.0,-159.0,0.0,-16.0,0.0,-195.0,0.0,-11.0,0.0,-197.0,0.0,-97.0,0.0,-557.0,12.0,12.0,12.0,-1415.0,False,1953125.0,2.0,46425376800.0,720.0,98.0,41000762880.0,720.0,56.0
4,uniform,outputs/agents_5/items_9/gpt4o/zero_shot3/output_4.txt,60.0,60.0,160.0,3.0,92.0,92.0,111.0,-20.0,86.0,86.0,86.0,-83.0,67.0,67.0,71.0,-156.0,0.0,-38.0,0.0,-371.0,92.0,92.0,428.0,-627.0,False,1953125.0,1.0,78352446480.0,788.0,98.0,20182266720.0,617.0,70.0
5,uniform,outputs/agents_5/items_9/gpt4o/zero_shot3/output_5.txt,11.0,11.0,11.0,-227.0,56.0,56.0,70.0,-235.0,0.0,-80.0,0.0,-505.0,0.0,-1.0,0.0,-200.0,0.0,-49.0,0.0,-430.0,56.0,56.0,81.0,-1597.0,False,1953125.0,3.0,64106834400.0,769.0,99.0,62145308160.0,767.0,92.0
6,uniform,outputs/agents_5/items_9/gpt4o/zero_shot3/output_6.txt,44.0,44.0,44.0,-163.0,0.0,0.0,0.0,-344.0,50.0,50.0,50.0,-72.0,0.0,-56.0,0.0,-287.0,0.0,-85.0,0.0,-523.0,50.0,50.0,94.0,-1389.0,False,1953125.0,2.0,89622065260.0,795.0,98.0,57315557936.0,728.0,98.0
7,uniform,outputs/agents_5/items_9/gpt4o/zero_shot3/output_7.txt,134.0,134.0,134.0,-93.0,30.0,30.0,53.0,-80.0,79.0,79.0,84.0,-70.0,0.0,-86.0,0.0,-461.0,46.0,46.0,46.0,-187.0,134.0,134.0,317.0,-891.0,False,1953125.0,4.0,32937086336.0,673.0,97.0,2338319360.0,605.0,5.0
8,uniform,outputs/agents_5/items_9/gpt4o/zero_shot3/output_8.txt,12.0,12.0,12.0,-391.0,48.0,48.0,48.0,-196.0,151.0,151.0,151.0,26.0,140.0,140.0,140.0,-157.0,0.0,-66.0,0.0,-441.0,151.0,151.0,351.0,-1159.0,False,1953125.0,5.0,88982876160.0,806.0,99.0,6229726272.0,654.0,11.0
9,uniform,outputs/agents_5/items_9/gpt4o/zero_shot3/output_9.txt,14.0,14.0,31.0,-9.0,0.0,-2.0,0.0,-188.0,0.0,-37.0,0.0,-430.0,0.0,-17.0,0.0,-437.0,97.0,97.0,183.0,81.0,97.0,97.0,214.0,-983.0,False,1953125.0,4.0,18451929600.0,636.0,96.0,9878076480.0,594.0,40.0
10,uniform,outputs/agents_5/items_9/gpt4o/zero_shot3/output_10.txt,66.0,66.0,66.0,-45.0,0.0,-67.0,0.0,-526.0,0.0,-15.0,0.0,-236.0,0.0,-29.0,0.0,-462.0,17.0,17.0,17.0,-294.0,66.0,66.0,83.0,-1563.0,False,1953125.0,4.0,60609600000.0,749.0,99.0,48115941120.0,742.0,78.0
